Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Acute stress disorder,df_dict_psd_all_bands,psd_all_bands,0.9210526315789473,0.92797783933518,"              precision    recall  f1-score   support

           0       1.00      0.84      0.91        19
           1       0.86      1.00      0.93        19

    accuracy                           0.92        38
   macro avg       0.93      0.92      0.92        38
weighted avg       0.93      0.92      0.92        38
"
Acute stress disorder,df_dict_fc_all_bands,fc_all_bands,0.7894736842105263,0.889196675900277,"              precision    recall  f1-score   support

           0       1.00      0.58      0.73        19
           1       0.70      1.00      0.83        19

    accuracy                           0.79        38
   macro avg       0.85      0.79      0.78        38
weighted avg       0.85      0.79      0.78        38
"
Acute stress disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.868421052631579,0.9085872576177285,"              precision    recall  f1-score   support

           0       1.00      0.74      0.85        19
           1       0.79      1.00      0.88        19

    accuracy                           0.87        38
   macro avg       0.90      0.87      0.87        38
weighted avg       0.90      0.87      0.87        38
"
Acute stress disorder,df_dict_psd_band,psd_delta,0.868421052631579,0.9224376731301939,"              precision    recall  f1-score   support

           0       1.00      0.74      0.85        19
           1       0.79      1.00      0.88        19

    accuracy                           0.87        38
   macro avg       0.90      0.87      0.87        38
weighted avg       0.90      0.87      0.87        38
"
Acute stress disorder,df_dict_psd_band,psd_theta,0.7631578947368421,0.8116343490304709,"              precision    recall  f1-score   support

           0       0.75      0.79      0.77        19
           1       0.78      0.74      0.76        19

    accuracy                           0.76        38
   macro avg       0.76      0.76      0.76        38
weighted avg       0.76      0.76      0.76        38
"
Acute stress disorder,df_dict_psd_band,psd_alpha,0.9210526315789473,0.9279778393351801,"              precision    recall  f1-score   support

           0       0.94      0.89      0.92        19
           1       0.90      0.95      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Acute stress disorder,df_dict_psd_band,psd_beta,0.868421052631579,0.9113573407202216,"              precision    recall  f1-score   support

           0       1.00      0.74      0.85        19
           1       0.79      1.00      0.88        19

    accuracy                           0.87        38
   macro avg       0.90      0.87      0.87        38
weighted avg       0.90      0.87      0.87        38
"
Acute stress disorder,df_dict_psd_band,psd_highbeta,0.8421052631578947,0.9667590027700831,"              precision    recall  f1-score   support

           0       0.93      0.74      0.82        19
           1       0.78      0.95      0.86        19

    accuracy                           0.84        38
   macro avg       0.86      0.84      0.84        38
weighted avg       0.86      0.84      0.84        38
"
Acute stress disorder,df_dict_psd_band,psd_gamma,0.8421052631578947,0.8864265927977839,"              precision    recall  f1-score   support

           0       0.88      0.79      0.83        19
           1       0.81      0.89      0.85        19

    accuracy                           0.84        38
   macro avg       0.85      0.84      0.84        38
weighted avg       0.85      0.84      0.84        38
"
Acute stress disorder,df_dict_fc_band,fc_delta,0.8157894736842105,0.9113573407202216,"              precision    recall  f1-score   support

           0       0.93      0.68      0.79        19
           1       0.75      0.95      0.84        19

    accuracy                           0.82        38
   macro avg       0.84      0.82      0.81        38
weighted avg       0.84      0.82      0.81        38
"
Acute stress disorder,df_dict_fc_band,fc_theta,0.868421052631579,0.9362880886426592,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        19
           1       0.85      0.89      0.87        19

    accuracy                           0.87        38
   macro avg       0.87      0.87      0.87        38
weighted avg       0.87      0.87      0.87        38
"
Acute stress disorder,df_dict_fc_band,fc_alpha,0.9210526315789473,0.9556786703601108,"              precision    recall  f1-score   support

           0       0.90      0.95      0.92        19
           1       0.94      0.89      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Acute stress disorder,df_dict_fc_band,fc_beta,0.8157894736842105,0.8310249307479225,"              precision    recall  f1-score   support

           0       0.88      0.74      0.80        19
           1       0.77      0.89      0.83        19

    accuracy                           0.82        38
   macro avg       0.82      0.82      0.81        38
weighted avg       0.82      0.82      0.81        38
"
Acute stress disorder,df_dict_fc_band,fc_highbeta,0.8421052631578947,0.9584487534626038,"              precision    recall  f1-score   support

           0       1.00      0.68      0.81        19
           1       0.76      1.00      0.86        19

    accuracy                           0.84        38
   macro avg       0.88      0.84      0.84        38
weighted avg       0.88      0.84      0.84        38
"
Acute stress disorder,df_dict_fc_band,fc_gamma,0.7894736842105263,0.8947368421052632,"              precision    recall  f1-score   support

           0       0.87      0.68      0.76        19
           1       0.74      0.89      0.81        19

    accuracy                           0.79        38
   macro avg       0.80      0.79      0.79        38
weighted avg       0.80      0.79      0.79        38
"
Acute stress disorder,df_dict_psd_fc_band,psd_fc_delta,0.9210526315789473,0.9141274238227147,"              precision    recall  f1-score   support

           0       0.94      0.89      0.92        19
           1       0.90      0.95      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Acute stress disorder,df_dict_psd_fc_band,psd_fc_theta,0.868421052631579,0.9529085872576177,"              precision    recall  f1-score   support

           0       0.85      0.89      0.87        19
           1       0.89      0.84      0.86        19

    accuracy                           0.87        38
   macro avg       0.87      0.87      0.87        38
weighted avg       0.87      0.87      0.87        38
"
Acute stress disorder,df_dict_psd_fc_band,psd_fc_alpha,0.8157894736842105,0.9667590027700831,"              precision    recall  f1-score   support

           0       0.93      0.68      0.79        19
           1       0.75      0.95      0.84        19

    accuracy                           0.82        38
   macro avg       0.84      0.82      0.81        38
weighted avg       0.84      0.82      0.81        38
"
Acute stress disorder,df_dict_psd_fc_band,psd_fc_beta,0.7631578947368421,0.9335180055401662,"              precision    recall  f1-score   support

           0       0.92      0.58      0.71        19
           1       0.69      0.95      0.80        19

    accuracy                           0.76        38
   macro avg       0.80      0.76      0.75        38
weighted avg       0.80      0.76      0.75        38
"
Acute stress disorder,df_dict_psd_fc_band,psd_fc_highbeta,0.8157894736842105,0.8227146814404432,"              precision    recall  f1-score   support

           0       0.93      0.68      0.79        19
           1       0.75      0.95      0.84        19

    accuracy                           0.82        38
   macro avg       0.84      0.82      0.81        38
weighted avg       0.84      0.82      0.81        38
"
Acute stress disorder,df_dict_psd_fc_band,psd_fc_gamma,0.8421052631578947,0.8753462603878117,"              precision    recall  f1-score   support

           0       1.00      0.68      0.81        19
           1       0.76      1.00      0.86        19

    accuracy                           0.84        38
   macro avg       0.88      0.84      0.84        38
weighted avg       0.88      0.84      0.84        38
"
Adjustment disorder,df_dict_psd_all_bands,psd_all_bands,0.868421052631579,0.9002770083102493,"              precision    recall  f1-score   support

           0       0.85      0.89      0.87        19
           1       0.89      0.84      0.86        19

    accuracy                           0.87        38
   macro avg       0.87      0.87      0.87        38
weighted avg       0.87      0.87      0.87        38
"
Adjustment disorder,df_dict_fc_all_bands,fc_all_bands,0.868421052631579,0.9501385041551247,"              precision    recall  f1-score   support

           0       0.94      0.79      0.86        19
           1       0.82      0.95      0.88        19

    accuracy                           0.87        38
   macro avg       0.88      0.87      0.87        38
weighted avg       0.88      0.87      0.87        38
"
Adjustment disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.9210526315789473,0.9362880886426592,"              precision    recall  f1-score   support

           0       0.94      0.89      0.92        19
           1       0.90      0.95      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Adjustment disorder,df_dict_psd_band,psd_delta,0.8947368421052632,0.9141274238227147,"              precision    recall  f1-score   support

           0       0.86      0.95      0.90        19
           1       0.94      0.84      0.89        19

    accuracy                           0.89        38
   macro avg       0.90      0.89      0.89        38
weighted avg       0.90      0.89      0.89        38
"
Adjustment disorder,df_dict_psd_band,psd_theta,0.8421052631578947,0.9390581717451524,"              precision    recall  f1-score   support

           0       0.81      0.89      0.85        19
           1       0.88      0.79      0.83        19

    accuracy                           0.84        38
   macro avg       0.85      0.84      0.84        38
weighted avg       0.85      0.84      0.84        38
"
Adjustment disorder,df_dict_psd_band,psd_alpha,0.868421052631579,0.8919667590027701,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86        19
           1       0.85      0.89      0.87        19

    accuracy                           0.87        38
   macro avg       0.87      0.87      0.87        38
weighted avg       0.87      0.87      0.87        38
"
Adjustment disorder,df_dict_psd_band,psd_beta,0.8421052631578947,0.89196675900277,"              precision    recall  f1-score   support

           0       0.78      0.95      0.86        19
           1       0.93      0.74      0.82        19

    accuracy                           0.84        38
   macro avg       0.86      0.84      0.84        38
weighted avg       0.86      0.84      0.84        38
"
Adjustment disorder,df_dict_psd_band,psd_highbeta,0.8421052631578947,0.889196675900277,"              precision    recall  f1-score   support

           0       0.84      0.84      0.84        19
           1       0.84      0.84      0.84        19

    accuracy                           0.84        38
   macro avg       0.84      0.84      0.84        38
weighted avg       0.84      0.84      0.84        38
"
Adjustment disorder,df_dict_psd_band,psd_gamma,0.7894736842105263,0.8781163434903047,"              precision    recall  f1-score   support

           0       0.79      0.79      0.79        19
           1       0.79      0.79      0.79        19

    accuracy                           0.79        38
   macro avg       0.79      0.79      0.79        38
weighted avg       0.79      0.79      0.79        38
"
Adjustment disorder,df_dict_fc_band,fc_delta,0.9210526315789473,0.8975069252077561,"              precision    recall  f1-score   support

           0       0.94      0.89      0.92        19
           1       0.90      0.95      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Adjustment disorder,df_dict_fc_band,fc_theta,0.8947368421052632,0.9390581717451523,"              precision    recall  f1-score   support

           0       1.00      0.79      0.88        19
           1       0.83      1.00      0.90        19

    accuracy                           0.89        38
   macro avg       0.91      0.89      0.89        38
weighted avg       0.91      0.89      0.89        38
"
Adjustment disorder,df_dict_fc_band,fc_alpha,0.8421052631578947,0.9362880886426592,"              precision    recall  f1-score   support

           0       0.84      0.84      0.84        19
           1       0.84      0.84      0.84        19

    accuracy                           0.84        38
   macro avg       0.84      0.84      0.84        38
weighted avg       0.84      0.84      0.84        38
"
Adjustment disorder,df_dict_fc_band,fc_beta,0.9210526315789473,0.9196675900277008,"              precision    recall  f1-score   support

           0       0.90      0.95      0.92        19
           1       0.94      0.89      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Adjustment disorder,df_dict_fc_band,fc_highbeta,0.868421052631579,0.9224376731301939,"              precision    recall  f1-score   support

           0       0.85      0.89      0.87        19
           1       0.89      0.84      0.86        19

    accuracy                           0.87        38
   macro avg       0.87      0.87      0.87        38
weighted avg       0.87      0.87      0.87        38
"
Adjustment disorder,df_dict_fc_band,fc_gamma,0.8421052631578947,0.9113573407202216,"              precision    recall  f1-score   support

           0       0.88      0.79      0.83        19
           1       0.81      0.89      0.85        19

    accuracy                           0.84        38
   macro avg       0.85      0.84      0.84        38
weighted avg       0.85      0.84      0.84        38
"
Adjustment disorder,df_dict_psd_fc_band,psd_fc_delta,0.868421052631579,0.9058171745152355,"              precision    recall  f1-score   support

           0       1.00      0.74      0.85        19
           1       0.79      1.00      0.88        19

    accuracy                           0.87        38
   macro avg       0.90      0.87      0.87        38
weighted avg       0.90      0.87      0.87        38
"
Adjustment disorder,df_dict_psd_fc_band,psd_fc_theta,0.8947368421052632,0.9722991689750692,"              precision    recall  f1-score   support

           0       0.89      0.89      0.89        19
           1       0.89      0.89      0.89        19

    accuracy                           0.89        38
   macro avg       0.89      0.89      0.89        38
weighted avg       0.89      0.89      0.89        38
"
Adjustment disorder,df_dict_psd_fc_band,psd_fc_alpha,0.8157894736842105,0.886426592797784,"              precision    recall  f1-score   support

           0       0.83      0.79      0.81        19
           1       0.80      0.84      0.82        19

    accuracy                           0.82        38
   macro avg       0.82      0.82      0.82        38
weighted avg       0.82      0.82      0.82        38
"
Adjustment disorder,df_dict_psd_fc_band,psd_fc_beta,0.8947368421052632,0.9778393351800554,"              precision    recall  f1-score   support

           0       0.86      0.95      0.90        19
           1       0.94      0.84      0.89        19

    accuracy                           0.89        38
   macro avg       0.90      0.89      0.89        38
weighted avg       0.90      0.89      0.89        38
"
Adjustment disorder,df_dict_psd_fc_band,psd_fc_highbeta,0.868421052631579,0.8448753462603876,"              precision    recall  f1-score   support

           0       0.82      0.95      0.88        19
           1       0.94      0.79      0.86        19

    accuracy                           0.87        38
   macro avg       0.88      0.87      0.87        38
weighted avg       0.88      0.87      0.87        38
"
Adjustment disorder,df_dict_psd_fc_band,psd_fc_gamma,0.9210526315789473,0.922437673130194,"              precision    recall  f1-score   support

           0       0.90      0.95      0.92        19
           1       0.94      0.89      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Alcohol use disorder,df_dict_psd_all_bands,psd_all_bands,0.8157894736842105,0.8725761772853186,"              precision    recall  f1-score   support

           0       0.80      0.84      0.82        19
           1       0.83      0.79      0.81        19

    accuracy                           0.82        38
   macro avg       0.82      0.82      0.82        38
weighted avg       0.82      0.82      0.82        38
"
Alcohol use disorder,df_dict_fc_all_bands,fc_all_bands,0.7894736842105263,0.8753462603878116,"              precision    recall  f1-score   support

           0       0.87      0.68      0.76        19
           1       0.74      0.89      0.81        19

    accuracy                           0.79        38
   macro avg       0.80      0.79      0.79        38
weighted avg       0.80      0.79      0.79        38
"
Alcohol use disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.631578947368421,0.7202216066481995,"              precision    recall  f1-score   support

           0       0.62      0.68      0.65        19
           1       0.65      0.58      0.61        19

    accuracy                           0.63        38
   macro avg       0.63      0.63      0.63        38
weighted avg       0.63      0.63      0.63        38
"
Alcohol use disorder,df_dict_psd_band,psd_delta,0.8421052631578947,0.8531855955678669,"              precision    recall  f1-score   support

           0       0.81      0.89      0.85        19
           1       0.88      0.79      0.83        19

    accuracy                           0.84        38
   macro avg       0.85      0.84      0.84        38
weighted avg       0.85      0.84      0.84        38
"
Alcohol use disorder,df_dict_psd_band,psd_theta,0.7631578947368421,0.8337950138504155,"              precision    recall  f1-score   support

           0       0.78      0.74      0.76        19
           1       0.75      0.79      0.77        19

    accuracy                           0.76        38
   macro avg       0.76      0.76      0.76        38
weighted avg       0.76      0.76      0.76        38
"
Alcohol use disorder,df_dict_psd_band,psd_alpha,0.7368421052631579,0.8975069252077562,"              precision    recall  f1-score   support

           0       0.74      0.74      0.74        19
           1       0.74      0.74      0.74        19

    accuracy                           0.74        38
   macro avg       0.74      0.74      0.74        38
weighted avg       0.74      0.74      0.74        38
"
Alcohol use disorder,df_dict_psd_band,psd_beta,0.7894736842105263,0.8393351800554016,"              precision    recall  f1-score   support

           0       0.79      0.79      0.79        19
           1       0.79      0.79      0.79        19

    accuracy                           0.79        38
   macro avg       0.79      0.79      0.79        38
weighted avg       0.79      0.79      0.79        38
"
Alcohol use disorder,df_dict_psd_band,psd_highbeta,0.7105263157894737,0.814404432132964,"              precision    recall  f1-score   support

           0       0.72      0.68      0.70        19
           1       0.70      0.74      0.72        19

    accuracy                           0.71        38
   macro avg       0.71      0.71      0.71        38
weighted avg       0.71      0.71      0.71        38
"
Alcohol use disorder,df_dict_psd_band,psd_gamma,0.8157894736842105,0.8310249307479225,"              precision    recall  f1-score   support

           0       0.77      0.89      0.83        19
           1       0.88      0.74      0.80        19

    accuracy                           0.82        38
   macro avg       0.82      0.82      0.81        38
weighted avg       0.82      0.82      0.81        38
"
Alcohol use disorder,df_dict_fc_band,fc_delta,0.7631578947368421,0.9390581717451523,"              precision    recall  f1-score   support

           0       0.92      0.58      0.71        19
           1       0.69      0.95      0.80        19

    accuracy                           0.76        38
   macro avg       0.80      0.76      0.75        38
weighted avg       0.80      0.76      0.75        38
"
Alcohol use disorder,df_dict_fc_band,fc_theta,0.7631578947368421,0.7811634349030471,"              precision    recall  f1-score   support

           0       0.81      0.68      0.74        19
           1       0.73      0.84      0.78        19

    accuracy                           0.76        38
   macro avg       0.77      0.76      0.76        38
weighted avg       0.77      0.76      0.76        38
"
Alcohol use disorder,df_dict_fc_band,fc_alpha,0.7105263157894737,0.7313019390581718,"              precision    recall  f1-score   support

           0       0.75      0.63      0.69        19
           1       0.68      0.79      0.73        19

    accuracy                           0.71        38
   macro avg       0.72      0.71      0.71        38
weighted avg       0.72      0.71      0.71        38
"
Alcohol use disorder,df_dict_fc_band,fc_beta,0.8157894736842105,0.8476454293628809,"              precision    recall  f1-score   support

           0       0.77      0.89      0.83        19
           1       0.88      0.74      0.80        19

    accuracy                           0.82        38
   macro avg       0.82      0.82      0.81        38
weighted avg       0.82      0.82      0.81        38
"
Alcohol use disorder,df_dict_fc_band,fc_highbeta,0.9210526315789473,0.9113573407202216,"              precision    recall  f1-score   support

           0       0.90      0.95      0.92        19
           1       0.94      0.89      0.92        19

    accuracy                           0.92        38
   macro avg       0.92      0.92      0.92        38
weighted avg       0.92      0.92      0.92        38
"
Alcohol use disorder,df_dict_fc_band,fc_gamma,0.631578947368421,0.7617728531855955,"              precision    recall  f1-score   support

           0       0.65      0.58      0.61        19
           1       0.62      0.68      0.65        19

    accuracy                           0.63        38
   macro avg       0.63      0.63      0.63        38
weighted avg       0.63      0.63      0.63        38
"
Alcohol use disorder,df_dict_psd_fc_band,psd_fc_delta,0.7368421052631579,0.8421052631578947,"              precision    recall  f1-score   support

           0       0.80      0.63      0.71        19
           1       0.70      0.84      0.76        19

    accuracy                           0.74        38
   macro avg       0.75      0.74      0.73        38
weighted avg       0.75      0.74      0.73        38
"
Alcohol use disorder,df_dict_psd_fc_band,psd_fc_theta,0.631578947368421,0.6454293628808864,"              precision    recall  f1-score   support

           0       0.65      0.58      0.61        19
           1       0.62      0.68      0.65        19

    accuracy                           0.63        38
   macro avg       0.63      0.63      0.63        38
weighted avg       0.63      0.63      0.63        38
"
Alcohol use disorder,df_dict_psd_fc_band,psd_fc_alpha,0.7105263157894737,0.7811634349030471,"              precision    recall  f1-score   support

           0       0.72      0.68      0.70        19
           1       0.70      0.74      0.72        19

    accuracy                           0.71        38
   macro avg       0.71      0.71      0.71        38
weighted avg       0.71      0.71      0.71        38
"
Alcohol use disorder,df_dict_psd_fc_band,psd_fc_beta,0.8157894736842105,0.817174515235457,"              precision    recall  f1-score   support

           0       0.88      0.74      0.80        19
           1       0.77      0.89      0.83        19

    accuracy                           0.82        38
   macro avg       0.82      0.82      0.81        38
weighted avg       0.82      0.82      0.81        38
"
Alcohol use disorder,df_dict_psd_fc_band,psd_fc_highbeta,0.6578947368421053,0.8254847645429363,"              precision    recall  f1-score   support

           0       0.69      0.58      0.63        19
           1       0.64      0.74      0.68        19

    accuracy                           0.66        38
   macro avg       0.66      0.66      0.66        38
weighted avg       0.66      0.66      0.66        38
"
